Book,Line,Text
1,53,"Durrys sù Langais ir Slenkscʒeis bùwŏ nŭpůlę;"
1,54,"Ogı̆ Trŏbà wiſſà wiſſùr iſʒkrypŭſı̆ ròdėſ';"
1,55,"Tódėl tů abbù, kaip reik' tikkriems Găſpădóriams,"
1,56,"Wiſſlâb wėl taiſyt', ir prówit' ſukkŏſi greitay."
1,57,"Wyr's tůjaùs Ʒ́ăgărû Bŭdăwónei pàrnĕſʒĕ Glėbį;"
1,58,"O Găspădinnė jo Pûſtynes mandăgey̆ lópė."
1,59,"Taip pôtam abbù daug dirbę bey trŭſı̆nėję,"
1,60,"Walgį ſâw ſŭʒ́wejót' pàs Kláną nùlĕkĕ greitay,"
1,61,"Ir kelliàs Warlès bey Ruppuiʒ́ęs părăgáwę,"
1,62,"Diewui iſʒ Sʒirdies wìſſôs wiernáy dĕkăwójo."
1,63,"Tù Ʒ́mogaù nieking's! mokįkis cʒè păſı̆kákįt,"
1,64,"Ir păſı̆ſótindams gardʒ́iaus n'uʒ́mirſʒk ſăwŏ Diewą -"
1,65,"Krúmus ir Girriàs wiſſokios óſʒı̆nŏ Dainos;"
1,66,"O Laukùs wiſſùr bey Piewas ſkambı̆nŏ Garſai."
1,67,"Gégŭʒ̇ė̆s ir Strazdai ſŭmı̆ſʒay lakſtydămı̆ ʒ̇aidė,"
1,68,"Ir Sutwértojį linksmay rykáudămı̆ gyrė."
1,69,"Krégʒ̇dės ſù lengwaìs Sparnais aukſʒtay păſı̆kėlė,"
1,70,"Irgı̆ bĕſʒútı̆dămos nèy Kulkos ſʒáudė pĕr Órus."
1,71,"O paſkuy Walgiùs praſtùs bè Prı̆prowu wálgė,"
1,72,"Ir păſı̆wálgiuſios pluſʒkėjo Páſăką̆ ſàwo."
1,73,"Gerwin's ik' Dĕbĕſſiû jůdû dywinay kŏpı̆nėdams,"
1,74,"Ir néy werkdams irgı̆ dĕjůdams ſkambı̆nŏ Dangû;"
1,75,"Bèt taì nè Werksmaì, kàd jis taip ſkambı̆nă ſʒaukdams,"
1,76,"Nè! jis nôr pămŏkyt', kaip Diewo diddĕ Gălybė,"
1,77,"Ir Paukſʒtéliu Balſůſ' yr' diddey ſtĕbŭklinga."
1,78,"Ʒ́wirblei ſù Waikaìs Ʒ́odʒ́iùs girdėdămı̆ tókius:"
1,79,"Rôds tărĕ, můſ Gı̆mı̆nė taipjau wiſſ ſʒlówı̆nă Diewą -"
1,80,"Bèt Lakſʒtingălă dâr ikſʒôl' kytrey păſı̆ſėpuſ',"
1,81,"Láuke wìſſ ı̆kı̆ kóʒ́nas bùs ſăwŏ Daìnă păbaigęs."
1,82,"Tódėl jì paſkiáus kasmét's wìſſ pràdĕdă ſʒúkaut'"
1,83,"Ir Nakties Cʒeſè, kàd Swiet's jau miegt' į̆ſı̆gúſʒtęs,"
1,84,"Sâw wienà Tamſôj' buddėdămă gárbı̆nă Diewą -"
1,85,"O iſʒauſʒus jau, kàd més iſʒ Pátălŏ kópam',"
1,86,"Kartais buddı̆nă mùs, ir múſu linksmı̆nă Sʒirdis."
1,87,"Ak ſʒlowing's Diewè, kaip dywin's tàwŏ Sutáikim's!"
1,88,"Kàd més Ruddĕnı̆j' àr Ʒ́iemôs Cʒeſè, păſı̆ſlėpę,"
1,89,"Ir ſŭſı̆rietę pàs meilingą Kákălį̆ krankiam';"
1,90,"Taì ir tù Paukſʒtéli miel's pàs mùs nĕſı̆ródai,"
1,91,"Bèt taipjaù kaip més Tamſôj' păſı̆ſlėpŭſı̆ lindai,"
1,92,"Ir măʒ́ŭ ſàwŏ glŭpàs Muſſès ſapnůdămă gáudai:"
1,93,"O ſʒtai, kàd més wėl linkſmì Pàwáſărı̆ ſʒwencʒiam',"
1,94,"Ir ſăwŏ Dárbus ant Laukû jau dirbt' păſı̆taiſom';"
1,95,"Tů ir tù ſăwŏ ſkàmbantį nutwėrŭſı̆ Wamzdį,"
1,96,"Sù wiſſókeis Balsais ir Daináwı̆mŭ̂ Garsais"
1,97,"Rágı̆nı̆ mùs păſı̆dʒ́iaugt', ir múſu lengwı̆nı̆ Dárbus."
1,98,"Allĕ ſăkyk Gaidél'! dėl ko tù wiſſ păſı̆ſlėpuſ'"
1,99,"Ir, kàd prádĕdă témt', ar Náktij, pàdĕrı̆ ſʒúkaut'?"
1,100,"Kódėl taip diddey ſlappaiſ' ſù Páſăkă ſáwo?"
1,101,"Iùk Swiet's wìſſas, ar bût' Bûr's, ar Pôn's į̆ſı̆rėmęs,"
1,102,"Ir Waikai bè Bukſwu, ir krunnėdămı̆ Diedai:"
1,103,"Kóʒ́nas ir kiekwien's tăwŏ ſʒauną gárbı̆nă Dainą,"
1,104,"Kàd tù mums Dywùs linksmû Lakſʒtingălŭ cʒ̇áuſʒki."
1,105,"Tù Wargónû bey Cimbólû niekı̆nı̆ Garſą."
1,106,"Smùikai tâw ir Kanklys tùr ſù Gėdą̆ nŭtilti,"
1,107,"Kàd rykáudămă tù ſăwŏ ſáldû pàkĕlı̆ Balſą,"
1,108,"Ir kinkyt', paplàkt'; nŭwăʒ́ůt' iſʒbuddı̆nı̆ Iurgį!"
1,109,"Kàd prieſʒ Wákără tù păſı̆ſlėpuſ' pràdĕdı̆ jůktis,"
1,110,"O més daug prı̆ſı̆wargę jau į Pátălă wirſtam';"
1,111,"Tai tù tarp kittû Paukſʒtéliu, néy Kărăliene,"
1,112,"Wiſſ dailiaus ir ſʒlowingiaùs ſăwŏ ſʒûktĕrı̆ Sʒûtką."
1,113,"O kàd kartais Kóbota més tàwŏ pãmátom';"
1,114,"Tai tù mùms néy Ʒ́wirblis búriſʒkas păſı̆ródai."
1,115,"Tù Sermėgu póniſʒkû puikèy pădărytû,"
1,116,"Ir Ʒ́uppániſʒkû Turbónû niekı̆nı̆ Rėdą;"
1,117,"Bèt wiſſ néy Bûrkà praſtày wieſʒėdămă cʒáuſʒki."
1,118,"Ak! Ir taip Ʒ́monû daugſyk taipjaù nŭſı̆důda,"
1,119,"Kàd ant Swieto ſʒio Mainû tikray pădăbójam'."
1,120,"Dikſas, ans Ʒ́ôplys, Mieſtè diddey păſı̆pútęs,"
1,121,"Ir ſù Rûbais bliʒgancʒeis kasdien ı̆ſſı̆rėdęs,"
1,122,"Néy Diewaitis kôks tarp Búrû Skiautŭrĕ̜ ródo;"
1,123,"O kàd kartais més jo glúpą girdı̆mĕ Kalbą,"
1,124,"Tai ir Bûr's tùr ſpjáudit', ir diddey nŭſı̆dywit';"
1,125,"Ypăcʒĕy, kàd Apjékėlis tôks niekı̆nă Diewą,"
1,126,"Ir bĕſı̆ſʒypſodams, kaip Pôn's, Glupummą́ păródo."
1,127,"Ak! kiekſykiu Kriʒʒas į Wyʒ́às į̆ſı̆nė̆ręs,"
1,128,"Ir ſăwŏ Skrándą búriſʒką wieſʒėt' ŭſſimówęs,"
1,129,"Po praſtù ſăwŏ Stógu néy Lakſʒtingălă cʒáuſʒka,"
1,130,"Kàd ſʒirdingay jis ſăwŏ Diewą pràdĕdă gárbint -"
1,131,"Tù, Paukſʒtéli miel's! nè póniſʒkay priſı̆wálgai."
1,132,"Riebûs múſ' Lăſʒı̆nei bey Déſʒros tâw nĕ pătinka,"
1,133,"Ir keptû bey wirtû Walgiû múſŭ nĕ nóri."
1,134,"Tù nè lúbiji Pyragû neigı̆ Răgaiſʒiû,"
1,135,"Irgı̆ nĕ wóʒ́iji gardʒ́iáuſio Gėrı̆mŏ Pónû;"
1,136,"Bèt, păſı̆ſótı̆nŭſi praſtày, tikt Wándĕnı̆o trókſʒti."
1,137,"Tikt n'uʒ́mirſʒk Gaidau! perdaug giedódămă Wálgit'."
1,138,"Imk draſà, nè cʒėdik, kàs mums birbı̆nă Gálwąs."
1,139,"Wálgik ſâw ſweikà, kàd nóri, Wábălą̆ márgą!"
1,140,"Wálgik Grikwăbălius, Muſſè̜s ir dywı̆ną̆ Ʒ́ógą!"
1,141,"Wálgik Skrùʒdėlęs ir ju nègimmŭſią̆ Weiſlę;"
1,142,"Bèt ir mûſ' pămı̆nėk į múſû Girrĕ̜ părėjuſ',"
1,143,"Kàd dainůdămă dâr ilgiaùs ſăwŏ Wáſără ſʒwéſi,"
1,144,"Ir: Iurgùtt', kinkyk, paplàk, nŭwăʒ́ůk păſăkyſi -"
1,145,"Tù nieking's Ʒ́mogaù! mokykis cʒè păſı̆kákint',"
1,146,"Kàd tâw kartais trópijaſ' ſkupày prı̆ſı̆wálgit'."
1,147,"I Paukſʒcʒùs ʒ́urėk! wien's prâstą Kirmı̆ną kramto,"
1,148,"O kitſai, stokódams Grúdo, gnybă Ʒ́ŏlélę."
1,149,"Iùk ir jie kasméts, mùs atlankyt' ſŭkĕláwę,"
1,150,"Kúdą wiſſ ir álkſtantį Pawáſărį̆ randa;"
1,151,"O wey tódėl tikt neywien's nı̆ekădos nĕſı̆ſkunʒ́ia."
1,152,"Tâw, Ʒ́mogaù! miel's Diew's daugiù daugiaus dŏwănójo,"
1,153,"O tù dâr nurnì, kàd, kartais álkăną Dieną,"
1,154,"Ar ſkupùs Cʒeſùs ſuláukęs, Sʒuppı̆nį̆ grámdai? -"
1,155,"Taip ſŭmı̆ſʒay bĕſı̆jůkiant, ſʒtai Uʒ́imm's păſı̆kėlė"
1,156,"Ir tůjaus Errélis rėkaudams păſı̆ródė."
1,157,"Ticʒ tărĕ jis, Pulkaì ſŭſı̆rìnkę liaukı̆tė̆s óſʒti,"
1,158,"Ir tikray klausykit', ką més jùms păſăkyſim'."
1,159,"Sʒ́tai tůjaus wiſſì Pulkaì girdėdămı̆ Sʒaukſmą,"
1,160,"Iſʒ wiſſû Păſʒăliu ſŭſı̆lėkę jâm păſı̆ródė:"
1,161,"Sʒtai més júſ' Tarnai! ką wéliſ' júſŭ Mălóne?"
1,162,"Més, ătſı̆liepdams jiems Errélis, nórı̆mĕ tárdit',"
1,163,"Kaip jŭſŭ Myliſta Ʒ́iemôs Bėdôj' ı̆ſſı̆laikėt'."
1,164,"Ar priſtókôt ko? àr kàs tarp júſŭ păgaiſʒo?"
1,165,"Raſſı̆ ką Sʒéſʒkas ar baiſingă Pĕlėdă ſŭdráſkė,"
1,166,"Màʒ́ŭ ką̆ Wánag's, âr Kiaunė kŏpı̆nėdămă ſmáugė;"
1,167,"Máʒ́ŭ ką̆ Néprı̆ĕtĕlus Ʒ́mogùs mums nùmŭſʒĕ ſʒáudams;"
1,168,"Ar kytrey, neý kôks Klaſtórius, gywą̆ păkórė,"
1,169,"O paſkuy prı̆ſı̆ėſt' Skaurádôj' iſʒkĕpĕ Biedʒ́ų."
1,170,"Taip Errélliui kláuſiant', ir aſʒtrey tı̆rı̆nėjant,"
1,171,"Gandras ant sâwŏ Lízdo, néy kôks Pôn's ı̆ſſı̆ſplėtęs,"
1,172,"Bey bĕſı̆klónodams wiſſ, ir linksmay ſʒŏkı̆nėdams:"
1,173,"Diews, tărĕ, Swietą ſʒį ſutwérdams ir bŭdăwódams,"
1,174,"Daugel Túkſtancʒu gywû Sutwerı̆mŭ léido,"
1,175,"Ir koʒ́nâm ſăwŏ Walgį, bey Gywátą păſkyrė;"
1,176,"Iùk wiſſùr, kùr ʒ́úrim' tikt, Dywaì păſı̆ródo."
1,177,"Pulką ſʒį Sutwértojis į Wándĕnį̆ ſuntė;"
1,178,"O annâm ant Orû plaùkt' Sparnùs dŏwănójo."
1,179,"Daug gywû Daiktû po Médʒ́eis Girrĕſĕ ſlápos';"
1,180,"O kiek ant Laukû linksmay pleſdéndămı̆ lákſto,"
1,181,"Ar pàs Ʒ́mones ant Kiemû cʒypſėdămı̆ burzda!"
1,182,"O wey kóʒ́ną Diew's wiſſ ſú Păſı̆mėgı̆mŭ ſótin'."
1,183,"Kartais trópijaſ' ſuláukt' ir álkăną̆ Dieną,"
1,184,"Kàd wiſſùr perdaug Baiſybės Dárgănŭ téſʒka,"
1,185,"Ar kàd dėl Ʒ́mogaus Griekû Diew's wárgı̆nă Swietą."
1,186,"Néprı̆etĕlis Ʒ́mogùs daugſyk mùs gandı̆nă ſʒáudam's,"
1,187,"Irgı̆ bı̆cʒiulliû bey Gencʒu mùms nùmŭſʒă daugel."
1,188,"Kartais nů Waikû meilingus atſkı̆rrı̆a Tėwus"
1,189,"Àr aukſʒtay kŏpı̆nėdams Paukſʒcʒû pàwăgiă Weiſlę."
1,190,"Sykeis Wargſtantiems, néy kôks Gĕrădėjas,"
1,191,"Grúdus Patworij' barſtydams rágı̆nă wálgit':"
1,192,"O ſʒtai, kàd tarp múſu kàs ką lèſt' păſı̆dráſin"
1,193,"Sù Tinklais glupiems Draugâms Iſʒkádą̆ pădáro;"
1,194,"Àr ſù prówita Pucʒkà tikt mùſʒă tı̆kt mùſʒa -"
1,195,"Ir tarp Paukſʒcʒû rôds tûl's kytras randăſı̆ Sukcʒus"
1,196,"Kùrs gardʒey prı̆ſı̆ėſt', ſlaptôm's ſăwŏ nùmŭſʒă Draugą."
1,197,"Wánag's, ans Klaſtórius, ir Pelėdă jŏ Dumcʒus,"
1,198,"Ir Warnaì ſù Wárnom's, ir jû Draugălă Sʒárka,"
1,199,"Daug kaſmét's, kaip ʒ́innôm', iſʒgaiſʒinnă Năbágû;"
1,200,"Bèt tokſaì Raʒbáinink's dâr tàrp múſ' nĕſı̆rádo,"
1,201,"Kaip Ʒ́mogùs tûl's yr', kàd jìs ſmăgŭráut' ı̆ſʒſı̆ʒója."
1,202,"Taip bĕſı̆páſăkŏjant, Dywû Dywaì păſı̆dárė."
1,203,"Balſas, néy Nůſkęſtancʒo ſuſʒukkŏ nĕſʒwánkey,"
1,204,"Ir wiſſ gélbėkit, ak! gélbėkit' pădŭſėjo."
1,205,"Tů wiſſì Pulkaì to Garſo taip nŭſı̆gando,"
1,206,"Kàd ir pàts Errélis jau kribʒ́dėtı̆ nĕdryſo;"
1,207,"Tikt Sʒikſʒnóſparnis dâr wien's ſù pilkă Pĕlėda,"
1,208,"Iſʒ biaurû Păſʒălliû pămăʒ́ì păſı̆dráſı̆nŏ lyſti,"
1,209,"Ìr tikraý tı̆rı̆nėt', kôks Strókas tén nŭſı̆tikko."
1,210,"Sʒtai wien's Pón's, puikey redyt's (tikt Gėdă ſăkyti)"
1,211,"Miſlik tikt, aukſʒcʒáuſû Pónû wiens prı̆ſı̆ėdęs,"
1,212,"Ir wiſſókiû Rincʒwyniû ſwĕtı̆mû prı̆ſı̆kóſʒęs,"
1,213,"Wólojôſ' ant Áſlôs ir prăſı̆kéikdams rėkė:"
1,214,"Nės jis Wélnus, ir Welnúkſʒcʒû Kaimĕnĕ̜ wiſſą,"
1,215,"Diewą bluʒnidams, taip baiſſey ſʒauktı̆ păgáwo,"
1,216,"Kàd wiſſà Peklà dėl to nŭſı̆gandŭſı̆ rûko,"
1,217,"Irgı̆ Bĕdugnei jôs bey Pámotos prăſı̆wėrė."
1,218,"Ʒ́innôm' juk wiſſì, kaip Pónai kéikdămı̆ rėkia;"
1,219,"Bèt ir Bûrai jau nů jû mokìnnăſı̆ rėkaut'"
1,220,"Kàs tâw Biedʒ́au, kenk', Sʒikſʒnóſparnis tı̆rı̆nėdams,"
1,221,"Irgı̆ nŭſkúſdams Póną tą păſı̆dráſı̆nŏ kláuſti?"
1,222,"Ar Gumbù ſergì perdaugel Kábı̆ăr ėdęs?"
1,223,"Màʒ́ŭ Pĕcʒénkos wėl iſʒ Pilwo werʒ́iăſı̆ laùkan?"
1,224,"Jùk ir tàwŏ Tĕtėn's uʒ́pérnay taip prı̆ſı̆ėdęs,"
1,225,"Sù ſăwŏ Puſbroleis, kaip tù, pilwůdămı̆ ſirgo,"
1,226,"Ik paſkiáus jie pérplyſʒo ir nùmı̆rrĕ baiſey."
1,227,"Sʒtai Didpilwis ſʒittas tą Graudénı̆mą̆ jauſdams,"
1,228,"Dâr daugiaùs iſʒputto ir durnůtı̆ prădėjo:"
1,229,"Nės jis tů Plaukû nů Kiauſʒės nùpĕſʒĕ Plůſʒtus;"
1,230,"O paſkuy barzdôs nù Smákro Puſſĕ nŭplėſʒė,"
1,231,"Ir ſù̆ Năgais kumpaìs ſà̆wŏ Wéidą wìſſą̆ ſŭdráſkė."
1,232,"Bèt dâr tai nĕ gănà; jis wiſſ Pı̆nnį̆gu graibydams"
1,233,"Ir bĕſı̆ſpárdidams ſú Walgeis parmĕtĕ Stálą;"
1,234,"Taìp, kàd Sʒunnys iſʒ wiſſû Păſʒăliû ſŭſı̆bėgę,"
1,235,"Póniſʒkus Walgiùs ir brángus Wirrălŭs ėdė."
1,236,"Bèt ir to nĕ gănà, jis ėmęs diddĕlı̆ Peilį"
1,237,"Gérklę ſù Stemplè jau pérpiaut iſʒtiĕſĕ Ranka."
1,238,"Cʒè Sʒikſʒnóſparnio Sʒirdìs taipo nuſı̆gando,"
1,239,"Kàd ſʒikſʒninnei jo Sparnaì jau lėkt' ň'igălėjo;"
1,240,"Allĕ Pĕlėdpalaike, del to ſmertnay nŭſı̆minnus',"
1,241,"Wėl atpencʒ tůjaùs į Náma ſăwŏ ſŭgryʒ́o;"
1,242,"Ir Naujienas tàs bey tóki dywı̆nă Trúſą,"
1,243,"Kàd Oraì pikti, kàsnakt's dâr prànĕſʒă Swietui,"
1,244,"Ir dèl to Ʒ́mogaus Tamſôj' duſáudămă werkia -"
1,245,"Ak! tărĕ Lauras rymodam's ant ſtrippı̆niŏ ſàwo,"
1,246,"Wiſſ Niekaì, kàd tûl's Ʒ́oplys ſù Blebbĕriŭ wápa,"
1,247,"Bûk Pillónys wiſſ linkſmày kasdien' prı̆ſı̆wálgą,"
1,248,"Ir Mieſſcʒónys bè Wargû Mieſtè ſʒŏkı̆nėję:"
1,249,"Nės tókie Ʒ́oplei Buttùs pămătydami márgus,"
1,250,"Ir Karrietas bliʒgancʒias gìrdėdămı̆ trinkant,"
1,251,"Miſlija, kàd kóʒ́nas Pônas puikey iſſı̆rėdęs"
1,252,"Nèy kaip Angelas Danguj' kasdien' păſı̆linkſmin'."
1,253,"Ak, Gaidau! lietùwiſʒki kytrì Pı̆lŏſópai"
1,254,"Taip glupày nè ʒaunija, kàd Sʒuppı̆nį̆ ſʒuttin';"
1,255,"Ar, kàd jie wieſʒėt' naujàs Wyʒ́às prăſı̆máno -"
1,256,"Iùk tikt wien's Glupùmm's, kàd Milkus Káſpărŏ Tarnas"
1,257,"Póniſʒkay păſı̆ródidam's koʒ́nâm păſı̆turſin',"
1,258,"Ir Burùs praſtùs per Kialu Iówălą̆ laiko."
1,259,"Tù Nenáudėli! dėl ko taip ìſʒkĕlı̆ Nóſį?"
1,260,"Ar jau uʒ́mirſʒai, kaip Pérnay Piemĕnŭ búdams,"
1,261,"Ů̆ʒkas ir Kiaulès glupàs pàs Blebbĕrį̆ ſʒėrei,"
1,262,"Ir ſù Wyʒ́om's, kaip glûp's Waik's į Baudʒăwă tráukeiſ?"
1,263,"Ar nĕʒ́ı̆nnaì, kaip Pricʒkus, kàd akkėt' nĕ nŏrėjei,"
1,264,"Sù Bŏtăgù, kaip Sʒulcui reik', tăwŏ Strėngălį̆ dróʒ́ė?"
1,265,"Tikt ătſı̆mįk, kiekſyk tăwŏ Tėw's, Sŏpăgùs ſùwı̆nėdams,"
1,266,"Sù Kurpálium' tâw per rambę nuggărą̆ ſieke;"
1,267,"O Momà ſù̆ Răʒ́ù ſùpykuſ' mùſʒĕ pĕr Auſį."
1,268,"Ogı̆ dăbàr jau kaip Ponátis Skiùatŭrĕ̜ ródai,"
1,269,"Ir grumzdì, kàd kartais Bûr's, pro Sʒálı̆ wăʒ́ůdams,"
1,270,"Ir tăwŏ Kárdą ſù naujù Dirʒ́ù pămătydam's,"
1,271,"Nè tújaus, kàd tù liepì Keppurrĕ̜ nŭmáuja,"
1,272,"Ir, kaip nóri tù, jiſſaì nè nôr păſı̆klónot'."
1,273,"Snargliau! eik pirmà mokinkis Kákălį̆ ſʒildit',"
1,274,"Ir ſăwŏ Póno ſùteptus Sŏpăgùs nuſʒlůſtit'."
1,275,"Iùk ʒ́innaì, kaip jis tăwĕ dár per Drimĕlį̆ laiko,"
1,276,"Irgı̆ nŭpliekdams ſù Laʒdà tăwŏ Nuggără ſkalbja."
1,277,"Wey Kappė bei Tė, kaip reik', dâr kôſʒt nĕ prı̆mókai!"
1,278,"Eik ŭſſı̆máuk Wyʒ́às, eik wėl pàs Blebbĕrį̆ ſlúʒ́it'!"
1,279,"Tikt girdėk, kaip Kiaulės jo, bey álkănŏs Óſʒkos,"
1,280,"Graudʒ́ey pro Pliſʒiùs ʒ́urėdămŏs Edĕſı̆û rėkia,"
1,281,"Kâm iſʒbėgai taip, praſtójęs Kaiminĕnĕ̜ Kiaulu?"
1,282,"Ar nĕ găwaì, ko reik', kasdien' iſʒ Blebbĕriŏ Rankû?"
1,283,"Ar reikėjo tâw ben ſyk' iſʒgįt' nĕ priwálgius?"
1,284,"Tikt ătſı̆myk, kaip jis tăwĕ nůgą prìĕmĕ ſlúʒ́it';"
1,285,"Ìr kiek Uttėlu jis tâw kasdien nŭſʒŭkáwo,"
1,286,"Ik' iſʒmókai jo penkiàs Kiaulès ſŭrŏkůti;"
1,287,"O paſkùy kiek wargo jis ir Áſʒărŭ werkė,"
1,288,"Ik' jo dáglą Puſkuilį ſù Penkiătă Kiaulu"
1,289,"Pro Wartùs iſʒguit dryſai, kàd iſʒgı̆nė̆ Kerdʒ́us."
1,290,"Ogı̆ dăbàr Ʒ́opli jau gėdies Blebbĕriŏ Námo,"
1,291,"Ir jo wieʒ́libą bey wertą niekı̆nı̆ Wardą?"
1,292,"Ticʒ tiktay Ponât! măʒ́ŭ wėl tèks ʒ́ingı̆nĕ ʒ́engti,"
1,293,"Ir, kàd Diew's kŏrăwôs, dâr werkdams Ubbăgăis eisi."
1,294,"Rôds, tărĕ Pricʒkus, jáun's, Ʒ́mogùs durnaý dŭkı̆nėdams"
1,295,"Néy Sidábras gyw's Stiklè mudrèy ſʒŏkı̆nėja,"
1,296,"Ir perdaug durnůdams ſâw Iſʒkádą̆ pădáro."
1,297,"Iùk ir més wiſſì, glupì dâr búdămı̆ Snarglei,"
1,298,"Daùg wiſſókiû Niekniekiû glupû prăſı̆mánėm."
1,299,"Més Waikaì ant Ulicʒu Kruwôm's ſŭſı̆bėgę,"
1,300,"Lóſʒôm', ir durnùs Sʒtukkùs, kaip Kúdı̆kĕi taiſėm'."
1,301,"Cʒè wien's Pùlk's, ſâw Ʒ́irgus iſʒ Lazdu păſı̆dáręs,"
1,302,"Ir glupày ſkraidydams ant Purwû ſʒŏkı̆nėjo;"
1,303,"O kitſaì Bŏtăgùs ſâw iſʒ Plauſʒû nŭſı̆ſukkęs,"
1,304,"Páuſʒkėjo bè Kélnu ſʒén ir tén bĕgı̆nėdams;"
1,305,"Bèt Mergaites, pàcʒos dâr prı̆wălydămŏs Aukliu,"
1,306,"Iaù iſʒ Lópû márgas ſâw Lėlès mădăráwo,"
1,307,"Ir aukůdămŏs ant Alkúnu gárbı̆nŏ Bóſtrą."
